Дата,"Мерные золотые слитки, г.","Цена обратного выкупа, сом","Цена продажи, сом",Source,Наличные_USD_Покупка,Наличные_USD_Продажа,Безналичные_USD_Покупка,Безналичные_USD_Продажа,Наличные_KZT_Покупка,Наличные_KZT_Продажа,Безналичные_KZT_Покупка,Безналичные_KZT_Продажа,Наличные_EUR_Покупка,Наличные_EUR_Продажа,Безналичные_EUR_Покупка,Безналичные_EUR_Продажа,Наличные_RUB_Покупка,Наличные_RUB_Продажа,Безналичные_RUB_Покупка,Безналичные_RUB_Продажа
2024-01-18,1.00,7 169.50,7 205.50,NBKR,,,,,,,,,,,,,,,,
2024-01-18,2.00,13 062.50,13 114.50,NBKR,,,,,,,,,,,,,,,,
2024-01-18,5.00,30 708.00,30 800.00,NBKR,,,,,,,,,,,,,,,,
2024-01-19,31.1035,185 466.50,188 248.50,NBKR,,,,,,,,,,,,,,,,
2024-01-19,100.00,585 999.00,603 578.50,NBKR,,,,,,,,,,,,,,,,
2024-01-19,10.00,60 554.00,60 675.00,NBKR,,,,,,,,,,,,,,,,
2024-01-19,1.00,7 174.50,7 210.00,NBKR,,,,,,,,,,,,,,,,
2024-01-19,2.00,13 072.00,13 124.00,NBKR,,,,,,,,,,,,,,,,
2024-01-19,5.00,30 731.50,30 824.00,NBKR,,,,,,,,,,,,,,,,
2024-01-22,1.00,7 219.00,7 255.50,NBKR,,,,,,,,,,,,,,,,
2024-01-22,2.00,13 161.50,13 214.00,NBKR,,,,,,,,,,,,,,,,
2024-01-22,5.00,30 957.50,31 050.00,NBKR,,,,,,,,,,,,,,,,
2024-01-22,10.00,61 005.00,61 127.00,NBKR,,,,,,,,,,,,,,,,
2024-01-22,31.1035,186 868.50,189 671.50,NBKR,,,,,,,,,,,,,,,,
2024-01-22,100.00,590 506.50,608 221.50,NBKR,,,,,,,,,,,,,,,,
2024-01-23,31.1035,186 227.00,189 020.50,NBKR,,,,,,,,,,,,,,,,
2024-01-23,100.00,588 445.00,606 098.00,NBKR,,,,,,,,,,,,,,,,
2024-01-23,10.00,60 799.00,60 920.50,NBKR,,,,,,,,,,,,,,,,
2024-01-23,5.00,30 854.00,30 946.50,NBKR,,,,,,,,,,,,,,,,
