Дата,"Мерные золотые слитки, г.","Цена обратного выкупа, сом","Цена продажи, сом",Год
20.11.2015,5.00,15 945.00,15 992.50,2015
20.11.2015,10.00,31 044.50,31 107.00,2015
20.11.2015,31.1035,93 803.50,93 897.50,2015
20.11.2015,100.00,259 175.00,259 434.50,2015
19.11.2015,1.00,3 979.50,3 999.00,2015
19.11.2015,2.00,6 857.50,6 885.00,2015
19.11.2015,5.00,15 761.50,15 808.50,2015
19.11.2015,10.00,30 678.00,30 739.00,2015
19.11.2015,31.1035,92 664.00,92 757.00,2015
19.11.2015,100.00,255 511.50,255 767.00,2015
18.11.2015,1.00,3 992.50,4 012.50,2015
18.11.2015,2.00,6 883.50,6 911.00,2015
18.11.2015,5.00,15 827.00,15 874.50,2015
18.11.2015,10.00,30 809.00,30 870.50,2015
18.11.2015,31.1035,93 071.50,93 164.50,2015
18.11.2015,100.00,256 821.50,257 078.00,2015
17.11.2015,1.00,4 004.50,4 024.50,2015
17.11.2015,2.00,6 908.00,6 935.50,2015
17.11.2015,5.00,15 889.00,15 936.50,2015
17.11.2015,10.00,30 933.00,30 994.50,2015
17.11.2015,31.1035,93 456.50,93 550.00,2015
17.11.2015,100.00,258 058.50,258 316.50,2015
16.11.2015,1.00,3 999.50,4 019.50,2015
16.11.2015,2.00,6 898.00,6 925.50,2015
16.11.2015,5.00,15 863.50,15 911.00,2015
16.11.2015,10.00,30 882.00,30 944.00,2015
16.11.2015,31.1035,93 299.00,93 392.00,2015
16.11.2015,100.00,257 552.00,257 810.00,2015
15.11.2015,1.00,4 013.00,4 033.50,2015
15.11.2015,2.00,6 925.00,6 953.00,2015
15.11.2015,5.00,15 932.00,15 980.00,2015
15.11.2015,10.00,31 019.00,31 081.00,2015
15.11.2015,31.1035,93 724.50,93 818.00,2015
15.11.2015,100.00,258 920.00,259 179.00,2015
14.11.2015,1.00,4 013.00,4 033.50,2015
14.11.2015,2.00,6 925.00,6 953.00,2015
14.11.2015,5.00,15 932.00,15 980.00,2015
14.11.2015,10.00,31 019.00,31 081.00,2015
14.11.2015,31.1035,93 724.50,93 818.00,2015
14.11.2015,100.00,258 920.00,259 179.00,2015
13.11.2015,1.00,4 007.50,4 027.50,2015
13.11.2015,2.00,6 913.50,6 941.50,2015
13.11.2015,5.00,15 903.00,15 951.00,2015
13.11.2015,10.00,30 961.50,31 023.50,2015
13.11.2015,31.1035,93 545.50,93 639.00,2015
13.11.2015,100.00,258 344.50,258 602.50,2015
12.11.2015,1.00,3 990.50,4 010.50,2015
