Дата,"Мерные золотые слитки, г.","Цена обратного выкупа, сом","Цена продажи, сом",Год
20.10.2020,1.00,6 492.50,6 525.00,2020
20.10.2020,2.00,11 883.50,11 931.00,2020
20.10.2020,5.00,28 405.00,28 490.50,2020
20.10.2020,10.00,55 965.50,56 077.50,2020
20.10.2020,31.1035,171 197.50,173 765.50,2020
20.10.2020,100.00,504 513.50,519 649.00,2020
19.10.2020,1.00,6 491.00,6 523.50,2020
19.10.2020,2.00,11 880.50,11 928.00,2020
19.10.2020,5.00,28 398.00,28 483.00,2020
19.10.2020,10.00,55 951.00,56 063.00,2020
19.10.2020,31.1035,171 152.50,173 720.00,2020
19.10.2020,100.00,504 368.50,519 500.00,2020
16.10.2020,1.00,6 390.00,6 422.00,2020
16.10.2020,2.00,11 679.00,11 725.50,2020
16.10.2020,5.00,27 890.50,27 974.50,2020
16.10.2020,10.00,54 936.50,55 046.00,2020
16.10.2020,31.1035,168 001.50,170 521.50,2020
16.10.2020,100.00,494 237.50,509 064.50,2020
15.10.2020,1.00,6 374.50,6 406.50,2020
15.10.2020,2.00,11 648.00,11 694.50,2020
15.10.2020,5.00,27 813.00,27 896.50,2020
15.10.2020,10.00,54 781.50,54 891.00,2020
15.10.2020,31.1035,167 520.00,170 033.00,2020
15.10.2020,100.00,492 691.00,507 471.50,2020
14.10.2020,1.00,6 325.50,6 357.00,2020
14.10.2020,2.00,11 549.50,11 596.00,2020
14.10.2020,5.00,27 565.50,27 648.00,2020
14.10.2020,10.00,54 286.00,54 394.50,2020
14.10.2020,31.1035,165 982.00,168 471.50,2020
14.10.2020,100.00,487 745.50,502 377.50,2020
13.10.2020,1.00,6 410.00,6 442.00,2020
13.10.2020,2.00,11 719.00,11 766.00,2020
13.10.2020,5.00,27 991.50,28 075.50,2020
13.10.2020,10.00,55 137.50,55 248.00,2020
13.10.2020,31.1035,168 627.00,171 156.50,2020
13.10.2020,100.00,496 249.00,511 136.50,2020
12.10.2020,1.00,6 404.50,6 436.50,2020
12.10.2020,2.00,11 707.50,11 754.50,2020
12.10.2020,5.00,27 962.50,28 046.50,2020
12.10.2020,10.00,55 080.00,55 190.00,2020
12.10.2020,31.1035,168 448.00,170 974.50,2020
12.10.2020,100.00,495 673.00,510 543.00,2020
09.10.2020,1.00,6 313.00,6 344.50,2020
09.10.2020,2.00,11 525.00,11 571.00,2020
09.10.2020,5.00,27 503.50,27 586.00,2020
09.10.2020,10.00,54 162.50,54 270.50,2020
09.10.2020,31.1035,165 597.50,168 081.50,2020
09.10.2020,100.00,486 509.50,501 104.50,2020
08.10.2020,1.00,6 305.50,6 337.00,2020
08.10.2020,2.00,11 510.00,11 556.00,2020
08.10.2020,5.00,27 466.00,27 548.00,2020
08.10.2020,10.00,54 086.50,54 195.00,2020
08.10.2020,31.1035,165 362.50,167 843.00,2020
08.10.2020,100.00,485 754.00,500 327.00,2020
07.10.2020,1.00,6 379.50,6 411.00,2020
07.10.2020,2.00,11 657.50,11 704.00,2020
07.10.2020,5.00,27 836.00,27 920.00,2020
07.10.2020,10.00,54 827.50,54 937.00,2020
07.10.2020,31.1035,167 663.50,170 178.50,2020
07.10.2020,100.00,493 151.50,507 946.50,2020
06.10.2020,1.00,6 369.50,6 401.50,2020
06.10.2020,2.00,11 638.00,11 684.50,2020
06.10.2020,5.00,27 787.50,27 871.00,2020
06.10.2020,10.00,54 730.00,54 839.50,2020
06.10.2020,31.1035,167 361.00,169 871.50,2020
06.10.2020,100.00,492 179.00,506 944.50,2020
05.10.2020,1.00,6 345.00,6 377.00,2020
05.10.2020,2.00,11 589.00,11 635.50,2020
05.10.2020,5.00,27 664.00,27 747.00,2020
05.10.2020,10.00,54 483.50,54 592.50,2020
05.10.2020,31.1035,166 595.00,169 093.50,2020
05.10.2020,100.00,489 715.50,504 407.00,2020
02.10.2020,1.00,6 342.50,6 374.00,2020
02.10.2020,2.00,11 583.50,11 630.00,2020
02.10.2020,5.00,27 650.50,27 733.50,2020
02.10.2020,10.00,54 456.50,54 565.50,2020
02.10.2020,31.1035,166 511.50,169 009.00,2020
02.10.2020,100.00,489 447.50,504 130.50,2020
01.10.2020,1.00,6 311.00,6 342.50,2020
01.10.2020,2.00,11 520.50,11 566.50,2020
01.10.2020,5.00,27 491.50,27 574.00,2020
01.10.2020,10.00,54 138.00,54 246.50,2020
01.10.2020,31.1035,165 522.00,168 005.00,2020
01.10.2020,100.00,486 267.50,500 855.50,2020
30.09.2020,1.00,6 303.50,6 335.00,2020
30.09.2020,2.00,11 505.00,11 551.50,2020
30.09.2020,5.00,27 453.50,27 536.00,2020
30.09.2020,10.00,54 062.50,54 170.50,2020
30.09.2020,31.1035,165 287.50,167 766.50,2020
30.09.2020,100.00,485 512.50,500 077.50,2020
29.09.2020,1.00,6 247.00,6 278.50,2020
29.09.2020,2.00,11 393.00,11 439.00,2020
29.09.2020,5.00,27 172.00,27 253.50,2020
29.09.2020,10.00,53 498.50,53 605.50,2020
29.09.2020,31.1035,163 536.50,165 989.50,2020
29.09.2020,100.00,479 883.00,494 279.50,2020
28.09.2020,1.00,6 235.50,6 266.50,2020
28.09.2020,2.00,11 370.00,11 415.50,2020
28.09.2020,5.00,27 113.00,27 194.00,2020
28.09.2020,10.00,53 381.00,53 487.50,2020
28.09.2020,31.1035,163 170.50,165 618.50,2020
28.09.2020,100.00,478 707.50,493 068.50,2020
25.09.2020,1.00,6 232.00,6 263.00,2020
25.09.2020,2.00,11 362.50,11 408.00,2020
25.09.2020,5.00,27 094.00,27 175.50,2020
25.09.2020,10.00,53 343.50,53 450.00,2020
25.09.2020,31.1035,163 054.50,165 500.50,2020
25.09.2020,100.00,478 334.00,492 684.00,2020
24.09.2020,1.00,6 261.50,6 292.50,2020
24.09.2020,2.00,11 421.50,11 467.00,2020
24.09.2020,5.00,27 242.50,27 324.50,2020
24.09.2020,10.00,53 640.50,53 747.50,2020
24.09.2020,31.1035,163 976.50,166 436.50,2020
24.09.2020,100.00,481 298.00,495 737.00,2020
23.09.2020,1.00,6 339.00,6 370.50,2020
23.09.2020,2.00,11 576.50,11 623.00,2020
23.09.2020,5.00,27 633.50,27 716.00,2020
23.09.2020,10.00,54 421.50,54 530.50,2020
23.09.2020,31.1035,166 402.50,168 898.50,2020
23.09.2020,100.00,489 098.00,503 771.00,2020
22.09.2020,1.00,6 340.50,6 372.00,2020
22.09.2020,2.00,11 579.50,11 626.00,2020
22.09.2020,5.00,27 641.00,27 724.00,2020
22.09.2020,10.00,54 437.00,54 545.50,2020
22.09.2020,31.1035,166 450.00,168 946.50,2020
22.09.2020,100.00,489 250.00,503 927.50,2020
21.09.2020,1.00,6 439.00,6 471.00,2020
21.09.2020,2.00,11 776.50,11 824.00,2020
21.09.2020,5.00,28 136.50,28 221.00,2020
21.09.2020,10.00,55 428.00,55 539.00,2020
21.09.2020,31.1035,169 528.50,172 071.50,2020
21.09.2020,100.00,499 148.00,514 122.50,2020
18.09.2020,1.00,6 397.00,6 429.00,2020
18.09.2020,2.00,11 692.50,11 739.00,2020
18.09.2020,5.00,27 924.50,28 008.00,2020
18.09.2020,10.00,55 003.50,55 113.50,2020
18.09.2020,31.1035,168 210.50,170 734.00,2020
18.09.2020,100.00,494 910.50,509 758.00,2020
17.09.2020,1.00,6 466.50,6 499.00,2020
17.09.2020,2.00,11 832.00,11 879.00,2020
17.09.2020,5.00,28 275.00,28 360.00,2020
17.09.2020,10.00,55 705.50,55 817.00,2020
17.09.2020,31.1035,170 390.00,172 946.00,2020
17.09.2020,100.00,501 917.50,516 975.00,2020
16.09.2020,1.00,6 434.00,6 466.00,2020
16.09.2020,2.00,11 766.50,11 813.50,2020
16.09.2020,5.00,28 111.50,28 195.50,2020
16.09.2020,10.00,55 378.00,55 488.50,2020
16.09.2020,31.1035,169 372.50,171 913.00,2020
16.09.2020,100.00,498 645.50,513 605.00,2020
15.09.2020,1.00,6 457.50,6 490.00,2020
15.09.2020,2.00,11 814.00,11 861.00,2020
15.09.2020,5.00,28 230.50,28 315.00,2020
15.09.2020,10.00,55 615.50,55 727.00,2020
15.09.2020,31.1035,170 111.00,172 663.00,2020
15.09.2020,100.00,501 021.00,516 051.50,2020
14.09.2020,1.00,6 419.50,6 451.50,2020
14.09.2020,2.00,11 737.50,11 784.50,2020
14.09.2020,5.00,28 038.00,28 122.00,2020
14.09.2020,10.00,55 231.00,55 341.50,2020
14.09.2020,31.1035,168 916.50,171 450.00,2020
14.09.2020,100.00,497 179.50,512 095.00,2020
11.09.2020,1.00,6 479.00,6 511.00,2020
11.09.2020,2.00,11 856.50,11 904.00,2020
11.09.2020,5.00,28 337.00,28 422.00,2020
11.09.2020,10.00,55 829.00,55 940.50,2020
11.09.2020,31.1035,170 774.00,173 335.50,2020
11.09.2020,100.00,503 151.50,518 246.00,2020
10.09.2020,1.00,6 432.00,6 464.50,2020
10.09.2020,2.00,11 763.00,11 810.00,2020
10.09.2020,5.00,28 102.00,28 186.50,2020
10.09.2020,10.00,55 359.50,55 470.00,2020
10.09.2020,31.1035,169 315.00,171 854.50,2020
10.09.2020,100.00,498 461.00,513 415.00,2020
09.09.2020,1.00,6 318.50,6 350.50,2020
09.09.2020,2.00,11 536.00,11 582.00,2020
09.09.2020,5.00,27 531.00,27 614.00,2020
09.09.2020,10.00,54 217.50,54 326.00,2020
09.09.2020,31.1035,165 769.00,168 255.50,2020
09.09.2020,100.00,487 060.50,501 672.00,2020
08.09.2020,1.00,6 355.50,6 387.50,2020
08.09.2020,2.00,11 610.00,11 656.50,2020
08.09.2020,5.00,27 717.00,27 800.50,2020
08.09.2020,10.00,54 589.50,54 698.50,2020
08.09.2020,31.1035,166 924.00,169 428.00,2020
08.09.2020,100.00,490 774.50,505 497.50,2020
07.09.2020,1.00,6 357.50,6 389.50,2020
07.09.2020,2.00,11 613.50,11 660.00,2020
07.09.2020,5.00,27 726.50,27 810.00,2020
07.09.2020,10.00,54 608.50,54 717.50,2020
07.09.2020,31.1035,166 982.50,169 487.50,2020
07.09.2020,100.00,490 962.50,505 691.00,2020
